path,source_ref,disposition,pattern_ids,notes
docs/agent_plans/20260706-efficiency-campaign/PLAN.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: verify=1, golden=7."
docs/agent_plans/20260706-efficiency-campaign/results/A100_AB_HANDOFF.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: sync=1.
docs/agent_plans/20260706-efficiency-campaign/results/RESULT.md,chamber-gpu,EVIDENCE_ONLY,,"Read exact source; retained as evidence for manual cross-check. Signals: nan=1, verify=1, golden=3."
docs/agent_plans/20260707-a100-ab-c1/PLAN.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: verify=2.
docs/agent_plans/20260707-a100-ab-c1/results/RESULT.md,chamber-gpu,EVIDENCE_ONLY,,Read exact source; retained as evidence for manual cross-check. Signals: regression=1.
docs/agent_plans/20260709-elastic-void-robustness/NOTES.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=4, regression=3."
docs/agent_plans/20260709-elastic-void-robustness/PLAN.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=9, verify=5, regression=11, diagnostic=1."
docs/agent_plans/20260709-elastic-void-robustness/results/FULL_SUITE_REVIEW_20260713.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=6, nan=2, regression=5, diagnostic=1."
docs/agent_plans/20260709-elastic-void-robustness/results/REGRESSION_RECOVERY_HANDOFF.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=12, nan=4, regression=3, diagnostic=1."
docs/agent_plans/20260709-elastic-void-robustness/results/RESULT.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=3, nan=1, non-finite=1, regression=5, diagnostic=1."
docs/agent_plans/20260709-elastic-void-robustness/results/REVIEW.md,chamber-gpu,ROUTE_PATTERN,GPU-021;GPU-022;GPU-023;GPU-025;NUM-001;NUM-002;NUM-003;NUM-004,"Read exact source; retained as evidence for manual cross-check. Signals: failure=2, regression=4, sync=1."
docs/agent_plans/20260709-fapply-kernel-surgery/NOTES.md,chamber-gpu,ROUTE_PATTERN,GPU-015;GPU-018;GPU-019;GPU-020,"Read exact source; retained as evidence for manual cross-check. Signals: nan=1, sync=2, diagnostic=1."
