candidate_key,candidate_name,hunk_count,example_file,transform_summary
"gpu_const_qualify_model_methods","GPU Const Qualification","6","src/Model/Propellant/PowerLaw.H","Adds const qualification to model accessors used through captured values."
"gpu_device_error_flag","GPU Device Error Flag","2","src/Integrator/Flame.cpp","Records non-finite kernel values in a device error flag for host-side abort."
"gpu_device_parse_forwarding","Gpu Device Parse Forwarding","5","src/IO/ParmParse.H","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: add(name.c_str(),Util::String::Join(defaultvalue)); std::vector<Set::Scalar> def_data(AMREX_SPACEDIM); for (unsigned int i = 0; i < def_data.size(); i++) def_da"
"gpu_device_safe_captures","GPU Device-Safe Captures","4","src/Integrator/Base/Mechanics.H","Copies host members into locals captured by value in device lambdas."
"gpu_device_safe_geometry","GPU Device-Safe Geometry","7","src/Integrator/Base/Mechanics.H","Copies cell-size geometry into a value object and passes data pointers in kernels."
"gpu_dimension_aware_constants","Gpu Dimension Aware Constants","4","src/Numeric/Stencil.H","Uses dimension picks in device-callable interpolation. Evidence: )) * fac; )) * AMREX_D_PICK(0.5, 0.25, 0.125); template<class T> [[nodiscard]] AMREX_FORCE_INLINE static T CellToNodeAverage(const amrex::Array4<T>& f, const in"
"gpu_elixir_capture","GPU Elixir Capture","2","src/Numeric/Interpolator/NodeBilinear.H","Acquires an AMReX Elixir only for GPU launch-region lifetime."
"gpu_face_gradient_stencil","Gpu Face Gradient Stencil","1","src/Numeric/Stencil.H","Adds device-callable face-gradient stencil helper. Evidence: [[nodiscard]] AMREX_FORCE_INLINE std::pair<Set::Vector,Set::Matrix> /// \brief Displacement gradient at the midpoint of a positive coordinate face. /// Normal d"
"gpu_fft_operator_migration","Gpu Fft Operator Migration","11","src/Integrator/CahnHilliard.cpp","Routes spectral work through project FFT wrapper and GPU parallel loop. Evidence: #ifdef ALAMO_FFT #include <AMReX_FFT.H> #endif #include ""Operator/Spectral/FFT.H"""
"gpu_finest_level_spectral_guard","GPU Finest-Level Spectral Guard","1","src/Integrator/CahnHilliard.cpp","Restricts spectral advance to the finest AMR level."
"gpu_host_device_stencil_helpers","Gpu Host Device Stencil Helpers","56","src/Numeric/Stencil.H","Annotates stencil/derivative helpers for host/device use and normalizes defaults. Evidence: AMREX_GPU_HOST_DEVICE DefaultType = { AMREX_D_DECL(StencilType::Central, StencilType::Central, StencilType::Central) }; DefaultType() { return {AMREX_D_DECL(Ste"
"gpu_ic_static_dispatch_extension","GPU IC Static Dispatch Extension","5","src/Integrator/AllenCahn.H","Extends compile-time initial-condition selection with a GPU-safe concrete implementation."
"gpu_integrator_safety_guards","Gpu Integrator Safety Guards","1","src/Integrator/Base/Mechanics.H","Guards unsupported host-polymorphic integrator modes in GPU builds. Evidence: pp_query_validate(""type"", type_str, {""disable"",""static"",""dynamic""}); pp_query_validate(""type"", type_str, {""disable"",""static"",""dynamic""}); #ifdef ALAMO_GPU if (v"
"gpu_integrator_source_closure","Gpu Integrator Source Closure","1","src/GPU/IntegratorPolicy.mk","Defines supported GPU integrator and explicit nvcc-clean source closure. Evidence: # CUDA builds compile one GPU-clean integrator closure at a time. # # Add a new integrator here only after its entry point and dependency closure are # nvcc-cle"
"gpu_model_host_device_annotations","Gpu Model Host Device Annotations","20","src/Model/Propellant/Constant.H","Makes model value/constitutive helpers callable from GPU kernels. Evidence: #ifndef MODEL_PROPELLANT_CONSTANT_H #define MODEL_PROPELLANT_CONSTANT_H #include ""Propellant.H"" namespace Model { namespace Propellant { class Constant { public"
"gpu_numeric_host_device_annotations","GPU Numeric Host Device Annotations","3","src/Numeric/Function.H","Annotates numeric scalar helpers for host/device calls."
"gpu_reduction_race_avoidance","Gpu Reduction Race Avoidance","3","src/Integrator/Base/Mechanics.H","Moves aggregate updates from device member writes to reduction plus host update. Evidence: const Dim3 /*boxlo= amrex::lbound(box),*/ boxhi = amrex::ubound(box); amrex::ParallelFor(box, [=] AMREX_GPU_DEVICE(int i, int j, int k) { // GPU: trac_hi / disp"
"gpu_residual_api_update","GPU Residual API Update","1","src/Integrator/Base/Mechanics.H","Subentry #1: switches residual computation to model-aware compResidual API."
"gpu_restart_field_copy_api","GPU Restart Field Copy API","2","src/Integrator/BaseField.H","Adds virtual/override CopyFrom forwarding used by restart field remapping."
"gpu_static_model_dispatch","GPU Static Model Dispatch","18","src/Model/Gas/EOS/CPG.H","Makes gas model calls statically dispatched and device-callable."
"gpu_stream_lifetime_synchronization","Gpu Stream Lifetime Synchronization","1","src/Integrator/Base/Mechanics.H","Synchronizes device streams before local GPU buffers are destroyed. Evidence: Util::Message(INFO, ""ELASTIC SOLVE: t="", a_time, "" step="", a_step, "" m_type="", (int)m_type); if (m_print_residual) solver.compLinearSolverResidual(res_mf, disp_"
