hunk_id,file,classification,num_tag,summary,decision_reason,ambiguous
"src/BC/Operator/Elastic/Expression.H:6-11","src/BC/Operator/Elastic/Expression.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/Constant.H:7-12","src/IC/Constant.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/Expression.H:34-39","src/IC/Expression.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/Expression.H:44-55","src/IC/Expression.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/Laminate.H:5-10","src/IC/Laminate.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/PNG.H:4-9","src/IC/PNG.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/PSRead.H:6-11","src/IC/PSRead.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/IC/PointList.H:0-0","src/IC/PointList.H","FEATURE","no","Adds PointList initial-condition capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/IC/StarAftGrain.H:0-0","src/IC/StarAftGrain.H","FEATURE","no","Adds StarAftGrain initial-condition capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/IC/Trig.H:9-14","src/IC/Trig.H","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/Integrator/Base/Mechanics.H:198-218#2","src/Integrator/Base/Mechanics.H","FEATURE","yes","Changes elastic residual evaluation and adds solve diagnostics.","The residual API and diagnostic behavior are independent of device execution; BASE GPU porting does not require them.","no"
"src/Integrator/BaseField.H:34-39","src/Integrator/BaseField.H","FEATURE","no","Adds restart field CopyFrom forwarding capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/BaseField.H:303-308","src/Integrator/BaseField.H","FEATURE","no","Adds restart field CopyFrom forwarding capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/CahnHilliard.cpp:52-58","src/Integrator/CahnHilliard.cpp","FEATURE","yes","Restricts spectral advance/branch behavior by AMR level.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/CahnHilliard.cpp:203-210","src/Integrator/CahnHilliard.cpp","FEATURE","yes","Enables refinement tagging for spectral evolution.","This changes AMR/numerical behavior independently of device execution.","no"
"src/Integrator/Flame.H:9-17","src/Integrator/Flame.H","FEATURE","no","Adds Flame chamber/thermal/elastic state or configuration capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.H:62-67","src/Integrator/Flame.H","FEATURE","no","Adds Flame chamber/thermal/elastic state or configuration capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.H:72-77","src/Integrator/Flame.H","FEATURE","no","Adds Flame chamber/thermal/elastic state or configuration capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.H:86-106#2","src/Integrator/Flame.H","FEATURE","no","Adds Flame chamber/thermal/elastic state or configuration capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.H:113-144#2","src/Integrator/Flame.H","FEATURE","no","Adds Flame chamber/thermal/elastic state or configuration capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.cpp:1-9","src/Integrator/Flame.cpp","FEATURE","no","Adds StarAftGrain and PointList initial-condition integration.","These IC capabilities are absent at BASE and independent of device execution.","no"
"src/Integrator/Flame.cpp:14-25","src/Integrator/Flame.cpp","FEATURE","no","Adds the ballistic chamber model integration.","This chamber capability is absent at BASE and independent of device execution.","no"
"src/Integrator/Flame.cpp:37-43","src/Integrator/Flame.cpp","NOISE","no","Whitespace-only cleanup.","No semantic transform remains after exact before/after review.","no"
"src/Integrator/Flame.cpp:52-59","src/Integrator/Flame.cpp","NOISE","no","Whitespace-only cleanup.","No semantic transform remains after exact before/after review.","no"
"src/Integrator/Flame.cpp:62-85","src/Integrator/Flame.cpp","NOISE","no","Whitespace-only cleanup.","No semantic transform remains after exact before/after review.","no"
"src/Integrator/Flame.cpp:92-145","src/Integrator/Flame.cpp","FEATURE","yes","Adds relaxation, new IC/model choices, and field/ghost policies.","These capabilities and numerical policies are independent of device execution.","no"
"src/Integrator/Flame.cpp:158-180","src/Integrator/Flame.cpp","FEATURE","no","Adds Flame physics, diagnostics, initialization, or chamber capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.cpp:191-211","src/Integrator/Flame.cpp","FEATURE","no","Adds Flame physics, diagnostics, initialization, or chamber capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.cpp:213-257","src/Integrator/Flame.cpp","FEATURE","yes","Adds traction, psi-floor, material-blend, and conservative-flux controls.","These physics and solver-policy changes are independent of device execution.","no"
"src/Integrator/Flame.cpp:273-280","src/Integrator/Flame.cpp","FEATURE","yes","Adds Flame physics, diagnostics, initialization, or chamber capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.cpp:295-303","src/Integrator/Flame.cpp","FEATURE","no","Adds Flame physics, diagnostics, initialization, or chamber capability.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Flame.cpp:306-383","src/Integrator/Flame.cpp","FEATURE","yes","Changes psi construction, traction, material blending, and model boundary policy.","The hunk changes physics and numerical behavior independently of device execution.","no"
"src/Integrator/Flame.cpp:420-447","src/Integrator/Flame.cpp","FEATURE","yes","Replaces the legacy pressure update path with chamber-model evolution.","This changes chamber numerical behavior independently of device execution.","no"
"src/Integrator/Flame.cpp:465-482","src/Integrator/Flame.cpp","FEATURE","no","Adds the mobility diagnostic field and generalized thermal/pressure path.","The added diagnostic/capability is not required to port BASE-era functionality.","no"
"src/Integrator/Flame.cpp:484-534#2","src/Integrator/Flame.cpp","FEATURE","yes","Changes phase-field clamping, mass-flux evolution, and thermal validation behavior.","These numerical/physics changes are independent of device execution.","no"
"src/Integrator/Flame.cpp:595-693#3","src/Integrator/Flame.cpp","ONEOFF","no","Required GPU-port change to compile or execute BASE functionality on device.","BASE functionality is retained; this change is required specifically for device compilation, capture, or asynchronous execution.","no"
"src/Integrator/Hydro.cpp:188-196","src/Integrator/Hydro.cpp","FEATURE","no","Removes three gas-model diagnostic prints.","This diagnostic behavior change is independent of device execution and is not required for a BASE GPU port.","no"
"src/Integrator/Integrator.H:465-470","src/Integrator/Integrator.H","FEATURE","no","Adds HDF5 compression configuration state.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:8-13","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:37-42","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:601-606","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:647-652","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:660-683","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:693-699","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:702-715","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:812-827","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:940-946","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:977-983","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:1012-1038","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
"src/Integrator/Integrator.cpp:1048-1055","src/Integrator/Integrator.cpp","FEATURE","no","Adds restart, periodic remap, plot, or HDF5 I/O capability absent from BASE.","BASE-era functionality would require this exact behavior/capability independently of GPU execution.","no"
