path,source_ref,disposition,pattern_ids,notes
".claude/agents/refactor-worker.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
".github/ISSUE_TEMPLATE/help-request.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"AGENTS.md","chamber-gpu","evidence-only","","Process guidance only; no pattern transform."
"CLAUDE.md","chamber-gpu","evidence-only","","Process guidance only; no pattern transform."
"analysis/README.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/ALPHA1_BASELINE.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/GPU_BRANCH_GUIDE.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Evidence context; diff remains authoritative."
"benchmark/GPU_TEST_PERF_TRACKING.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Evidence context; diff remains authoritative."
"benchmark/LOCAL_A100_SPOOFING.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/MLMG_HIGH_CONTRAST_FINDINGS.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/NOVA_SLURM_RUNBOOK.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/PERF_TRACKING.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/README.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/archive/G0_BASELINE_OF_RECORD.md","chamber-gpu","evidence-only","","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/GPU_ROADMAP_V2.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/GPU_TEST_SUITE_FIXES.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE1_ELASTIC_DISPOSITION.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013,NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE3_3D_READINESS.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE3_NOVA_TESTING_PROGRESS.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE3_R3_crossover.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE4_R4_dispatch.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE5_BRANCH_DONE.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE_A_FINDINGS.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/PHASE_C0_input_ab.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/README.md","chamber-gpu","evidence-only","","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/elastic_sensitivity_20260621/GPU_ELASTIC_DEBUG_PLAN.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,GPU-007,GPU-012,GPU-013","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/elastic_sensitivity_20260621/REPORT.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/elastic_sensitivity_20260621/coarsening_sweep.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/elastic_sensitivity_20260621/fix_notes.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/elixir_race_audit.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/archive/phase2_box_sweep/README.md","chamber-gpu","evidence-only","NUM-001,NUM-002","Archived historical context; retain as evidence-only and do not override current diff."
"benchmark/mlmg_high_contrast_20260702/NEGATIVE_RESULTS.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/mlmg_high_contrast_20260702/NR_PSI_CONVERGENCE.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/mlmg_high_contrast_20260702/README.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/mlmg_high_contrast_20260702/RESYNC_COEFFS.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/mlmg_high_contrast_20260702/SETTINGS.md","chamber-gpu","evidence-only","GPU-007,GPU-012,GPU-013","Evidence context; diff remains authoritative."
"benchmark/validate/README.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"benchmark/validate/physics_budget.md","chamber-gpu","evidence-only","","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/INTEGRATION.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/PLAN.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/results/A-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/results/B-RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
"docs/agent_plans/20260620-gpu-phase1-and-lever25/results/RESULT.md","chamber-gpu","evidence-only","GPU-001,GPU-006,GPU-008,GPU-009,GPU-010,GPU-011,NUM-001,NUM-002","Evidence context; diff remains authoritative."
