hunk_id,file,classification,candidate_key,candidate_name,summary
"src/GPU/IntegratorPolicy.mk:0-0","src/GPU/IntegratorPolicy.mk","CANDIDATE","gpu_integrator_source_closure","Gpu Integrator Source Closure","Defines supported GPU integrator and explicit nvcc-clean source closure. Evidence: # CUDA builds compile one GPU-clean integrator closure at a time. # # Add a new integrator here only after its entry point and dependency closure are # nvcc-cle"
"src/IO/ParmParse.H:692-698","src/IO/ParmParse.H","CANDIDATE","gpu_device_parse_forwarding","Gpu Device Parse Forwarding","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: add(name.c_str(),Util::String::Join(defaultvalue)); std::vector<Set::Scalar> def_data(AMREX_SPACEDIM); for (unsigned int i = 0; i < def_data.size(); i++) def_da"
"src/IO/ParmParse.H:705-718","src/IO/ParmParse.H","CANDIDATE","gpu_device_parse_forwarding","Gpu Device Parse Forwarding","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: int queryarr_default( std::string name, Set::Matrix & value, Set::Matrix defaultvalue) int queryarr_default( std::string name, Set::Matrix & value, Set::Mat"
"src/IO/ParmParse.H:1219-1229","src/IO/ParmParse.H","CANDIDATE","gpu_device_parse_forwarding","Gpu Device Parse Forwarding","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: template <typename... OBJ, typename CLASS> void select(std::string name, CLASS& value) template <typename... OBJ, typename CLASS, typename... Args> void select("
"src/IO/ParmParse.H:1238-1245","src/IO/ParmParse.H","CANDIDATE","gpu_device_parse_forwarding","Gpu Device Parse Forwarding","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: template <typename CLASS, int N, typename... OBJ> void static_polymorphism_parser(CLASS& value) template <typename CLASS, int N, typename... OBJ, typename... Ar"
"src/IO/ParmParse.H:1263-1274","src/IO/ParmParse.H","CANDIDATE","gpu_device_parse_forwarding","Gpu Device Parse Forwarding","Marshals fixed-size defaults and forwards extra parse arguments through static dispatch. Evidence: std::get<N>(value.obj).Parse(std::get<N>(value.obj), *this); std::get<N>(value.obj).Parse( std::get<N>(value.obj), *this, std::forward<Args>(args)...); return s"
"src/Integrator/AllenCahn.H:37-42","src/Integrator/AllenCahn.H","CANDIDATE","gpu_ic_static_dispatch_extension","GPU IC Static Dispatch Extension","Extends compile-time initial-condition selection with a GPU-safe concrete implementation."
"src/Integrator/AllenCahn.H:106-113","src/Integrator/AllenCahn.H","CANDIDATE","gpu_ic_static_dispatch_extension","GPU IC Static Dispatch Extension","Extends compile-time initial-condition selection with a GPU-safe concrete implementation."
"src/Integrator/Base/Mechanics.H:37-44","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Noise: formatting/comment whitespace only. Evidence: // The mechanics integrator manages the solution of an elastic // solve using the MLMG solver. // The mechanics integrator manages the solution of an elastic //"
"src/Integrator/Base/Mechanics.H:49-60","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_integrator_safety_guards","Gpu Integrator Safety Guards","Guards unsupported host-polymorphic integrator modes in GPU builds. Evidence: pp_query_validate(""type"", type_str, {""disable"",""static"",""dynamic""}); pp_query_validate(""type"", type_str, {""disable"",""static"",""dynamic""}); #ifdef ALAMO_GPU if (v"
"src/Integrator/Base/Mechanics.H:105-111","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Noise: formatting/comment whitespace only. Evidence: // initial condition for right hand side (body force) // initial condition for right hand side (body force)"
"src/Integrator/Base/Mechanics.H:124-134","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Whitespace-only formatting change."
"src/Integrator/Base/Mechanics.H:145-151","src/Integrator/Base/Mechanics.H","ONEOFF","oneoff_public_api","Oneoff Public API Exposure","Changes member access from protected to public; isolated API exposure."
"src/Integrator/Base/Mechanics.H:198-218","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_stream_lifetime_synchronization","Gpu Stream Lifetime Synchronization","Synchronizes device streams before local GPU buffers are destroyed. Evidence: Util::Message(INFO, ""ELASTIC SOLVE: t="", a_time, "" step="", a_step, "" m_type="", (int)m_type); if (m_print_residual) solver.compLinearSolverResidual(res_mf, disp_"
"src/Integrator/Base/Mechanics.H:229-241","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:252-258","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:264-269","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_captures","GPU Device-Safe Captures","Copies host members into locals captured by value in device lambdas."
"src/Integrator/Base/Mechanics.H:279-288","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:296-302","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Whitespace-only formatting change."
"src/Integrator/Base/Mechanics.H:308-319","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:330-336","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Noise: formatting/comment whitespace only."
"src/Integrator/Base/Mechanics.H:348-356","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:360-369","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_geometry","GPU Device-Safe Geometry","Copies cell-size geometry into a value object and passes data pointers in kernels."
"src/Integrator/Base/Mechanics.H:383-389","src/Integrator/Base/Mechanics.H","NOISE","noise_formatting","Noise Formatting","Noise: formatting/comment whitespace only."
"src/Integrator/Base/Mechanics.H:418-449","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_reduction_race_avoidance","Gpu Reduction Race Avoidance","Moves aggregate updates from device member writes to reduction plus host update. Evidence: const Dim3 /*boxlo= amrex::lbound(box),*/ boxhi = amrex::ubound(box); amrex::ParallelFor(box, [=] AMREX_GPU_DEVICE(int i, int j, int k) { // GPU: trac_hi / disp"
"src/Integrator/Base/Mechanics.H:452-457","src/Integrator/Base/Mechanics.H","CANDIDATE","gpu_device_safe_captures","GPU Device-Safe Captures","Copies refinement threshold member into a local before a device lambda."
"src/Integrator/BaseField.H:34-39","src/Integrator/BaseField.H","CANDIDATE","gpu_restart_field_copy_api","GPU Restart Field Copy API","Adds virtual/override CopyFrom forwarding used by restart field remapping."
"src/Integrator/BaseField.H:303-308","src/Integrator/BaseField.H","CANDIDATE","gpu_restart_field_copy_api","GPU Restart Field Copy API","Adds virtual/override CopyFrom forwarding used by restart field remapping."
