hunk_id,file,classification,num_tag,summary,decision_reason,ambiguous
src/Integrator/PFC.cpp:10-15,src/Integrator/PFC.cpp,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Model/Chamber/Ballistic.H:0-0,src/Model/Chamber/Ballistic.H,FEATURE,no,Adds ballistic chamber model implementation.,BASE lacks this chamber-physics capability; independent of device execution.,no
src/Model/Chamber/Old_Ballistic.H:0-0,src/Model/Chamber/Old_Ballistic.H,FEATURE,no,Adds ballistic chamber model implementation.,BASE lacks this chamber-physics capability; independent of device execution.,no
src/Model/Gas/Gas.H:112-118,src/Model/Gas/Gas.H,FEATURE,yes,Changes gas constant reference in molecular-weight conversion.,Changes numerical behavior independent of device execution.,no
src/Model/Propellant/Homogenize.H:8-14,src/Model/Propellant/Homogenize.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Model/Propellant/PowerLaw.H:31-36,src/Model/Propellant/PowerLaw.H,FEATURE,no,Adds the propellant property-getter API and explicit unsupported-property behavior.,BASE lacks this API; porting BASE functionality does not require this exact host getter addition.,no
src/Model/Propellant/Propellant.H:35-40,src/Model/Propellant/Propellant.H,FEATURE,no,Adds polymorphic propellant property dispatch and name access.,BASE lacks this API; porting BASE functionality does not require this exact host dispatch addition.,no
src/Model/Solid/Finite/NeoHookean.H:14-34#2,src/Model/Solid/Finite/NeoHookean.H,ONEOFF,yes,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Model/Solid/Finite/NeoHookean.H:36-90#3,src/Model/Solid/Finite/NeoHookean.H,ONEOFF,yes,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Numeric/Function.H:1-6,src/Numeric/Function.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Numeric/Stencil.H:83-107#2,src/Numeric/Stencil.H,ONEOFF,no,Replaces pair return values with the device-safe Jet aggregate.,Required to port the existing stencil helper to device code; numerical behavior is unchanged.,no
src/Numeric/Stencil.H:785-821#3,src/Numeric/Stencil.H,ONEOFF,no,Replaces split-gradient pair return values with the device-safe Jet aggregate.,Required to port the existing split-gradient helper to device code; numerical behavior is unchanged.,no
src/Operator/Elastic.H:108-115,src/Operator/Elastic.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
src/Operator/Operator.H:47-52,src/Operator/Operator.H,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.H:57-101#2,src/Operator/Operator.H,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.cpp:3-16,src/Operator/Operator.cpp,FEATURE,no,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.cpp:368-380#1,src/Operator/Operator.cpp,FEATURE,no,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.cpp:368-380#2,src/Operator/Operator.cpp,FEATURE,yes,Adds optional coarse-correction ghost sanitization.,This changes multilevel solver state independently of device execution.,no
src/Operator/Operator.cpp:422-436,src/Operator/Operator.cpp,FEATURE,yes,Adds dimension-specific interpolation behavior alongside the device execution path.,The interpolation formula changes numerical behavior independently of device execution.,no
src/Operator/Operator.cpp:566-577,src/Operator/Operator.cpp,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.cpp:639-645,src/Operator/Operator.cpp,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Operator.cpp:648-659,src/Operator/Operator.cpp,FEATURE,yes,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Operator/Spectral/FFT.H:0-0,src/Operator/Spectral/FFT.H,FEATURE,no,Adds solver/model/test/diagnostic capability or changes numerical behavior independent of device execution.,BASE lacks this capability or behavior; porting BASE functionality does not require this exact change.,no
src/Set/Base.H:7-12,src/Set/Base.H,ONEOFF,no,"GPU/build compatibility support (device annotations, closure-safe types, include, or launcher plumbing).",Required to port BASE-era functionality to GPU/build; no independent capability is added.,no
